start_time,end_time,start_balance,end_balance,real_pnl,tracked_pnl,pnl_drift,trades,wins,losses,win_rate,avg_entry_price,avg_edge,avg_delta
2026-05-09 11:50:19,2026-05-09 11:50:28,100.0,100.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2026-05-09 11:52:17,2026-05-09 11:54:47,100.0,100.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2026-05-09 11:59:34,2026-05-09 11:59:42,10.85,10.85,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2026-05-09 12:00:00,2026-05-09 12:02:33,100.0,100.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2026-05-09 12:02:48,2026-05-09 12:19:31,100.0,117.27,17.27,8.64,8.64,1,1,0,100.0,1.0,1.0,0.0303
2026-05-09 12:19:34,2026-05-09 12:25:36,100.0,50.0,-50.0,-25.0,-25.0,1,0,1,0.0,1.0,1.0,0.026
2026-05-09 12:26:07,2026-05-09 13:53:15,100.0,255.45,155.45,77.73,77.73,7,7,0,100.0,1.0,1.0,0.0331
2026-05-09 13:53:26,2026-05-09 14:12:28,100.0,114.94,14.94,7.47,7.47,1,1,0,100.0,1.0,1.0,0.0314
2026-05-09 19:29:28,2026-05-09 19:30:24,100.0,100.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2026-05-09 19:30:54,2026-05-09 19:38:22,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2026-05-09 19:39:54,2026-05-09 19:40:39,73.82,73.82,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2026-05-09 19:41:31,2026-05-09 19:54:55,73.82,90.22,16.4,0.0,16.4,0,0,0,0.0,0.0,0.0,0.0
2026-05-09 19:55:07,2026-05-09 20:44:18,90.22,99.76,9.53,0.0,9.53,0,0,0,0.0,0.0,0.0,0.0
2026-05-09 20:44:20,2026-05-09 20:53:48,99.76,74.67,-25.09,0.0,-25.09,0,0,0,0.0,0.0,0.0,0.0
2026-05-09 20:54:22,2026-05-09 21:00:57,74.67,74.67,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2026-05-09 21:01:01,2026-05-09 21:07:17,74.67,64.04,-10.63,-10.63,0.0,1,0,1,0.0,0.0,0.0,0.0
2026-05-09 21:07:19,2026-05-09 21:30:08,64.04,35.07,-28.97,-10.63,-18.34,1,0,1,0.0,0.0,0.0,0.0
2026-05-09 22:15:58,2026-05-09 22:29:06,96.3,63.07,-33.23,-5.29,-27.94,1,0,1,0.0,0.0,0.0,0.0
2026-05-10 09:09:19,2026-05-10 09:09:27,100.0,100.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2026-05-10 12:28:50,2026-05-10 12:28:55,100.0,100.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
2026-05-10 12:52:00,2026-05-10 12:52:05,100.0,100.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0
